Entry #,Pseudo-Page,Chuukese Word / Form,Part of Speech,English Definition,Examples,Notes
59,8,I’m you’re,,"he’s we’re you’re they’re we’re	(pronouns pg.1, #2)",,Extracted from page 8
60,8,ákkáchengicheng,,beloved by	(reduplication also conveys repetitive action),,Extracted from page 8
61,8,I’m you’re,,"he’s we’re you’re they’re we’re	(pronouns page 1, #2)",,Extracted from page 8
62,8,áchepeteki,,v.  cause to stumble	(see “chepetek”),,Extracted from page 8
63,8,áchichchin,,"adj.  easily offended, sensitive	(also to sickness)",,Extracted from page 8
64,8,áchiéú,,"is it right, true?	(used as a question)	(Generally spoken not written form)",,Extracted from page 8
65,8,áchiféúa,,"v.  to believe, accept	(used in statement, not in a question)",,Extracted from page 8
66,8,achocho,,"v.  try hard, effort, be industrious, strive",,Extracted from page 8
67,8,achochofengen,,work hard together achochoon – industriousness of achochosefál – try hard again achochoto – try hard to come,,Extracted from page 8
68,8,akkachocho,,trying hard	(reduplication also conveys repetitive action),,Extracted from page 8
69,9,achomanaw,,n.  rape	(see “manaw”),,Extracted from page 9
70,9,achómmónga,,vt.  to increase	(see “chómmóng”),,Extracted from page 9
71,9,achunaaló,,vt.  to blind	(see “chun”),,Extracted from page 9
72,9,achúngú,,"v., vt.  to shake  (Example: a box)	(see “chúng”)",,Extracted from page 9
73,9,áeá,,v.  use	(inanimate objects with exceptions),,Extracted from page 9
74,9,ákkáeá,,using	(reduplication also conveys repetitive action),,Extracted from page 9
75,9,áeáán,,use of,,Extracted from page 9
76,9,áeáár,,use them	(objects),,Extracted from page 9
77,9,áeáfengen,,use together,,Extracted from page 9
78,9,áeáfengeni,,vt.  use together	(takes on a object),,Extracted from page 9
79,9,áeáfichi,,"v., vt. use properly áeáfichiin – proper use of áeáfichiir – use them properly",,Extracted from page 9
80,9,áeáéch,,v.  use well	(to prevent waste),,Extracted from page 9
81,9,áeángaw,,use wastefully,,Extracted from page 9
82,9,áeángawen,,"wasteful use of áeámwáálli – v., vt. use incorrectly, improperly",,Extracted from page 9
83,10,áeámwáálliir,,incorrectly use them áeámwáállin – incorrect use of,,Extracted from page 10
84,10,áeásefál,,"v.  use again, reuse",,Extracted from page 10
85,10,áeásefáli,,vt.  reuse	(takes on an object),,Extracted from page 10
86,10,áeásefáliin,,reuse of,,Extracted from page 10
87,10,áeálong,,"put on, to wear	(anything below the waist: trousers, skirt, etc.)",,Extracted from page 10
88,10,eáni,,"keep, own, possess, have	(inanimate objects, with exceptions) ákkeáni – keeping	(reduplication also conveys repetitive action) eánisefál – repossess",,Extracted from page 10
89,10,eánisefáli,,vt.  to repossess,,Extracted from page 10
90,10,áeménún,,the first person	(see “eú”),,Extracted from page 10
91,10,áewin,,first	(in numerical sequence)	(see “eú”),,Extracted from page 10
92,10,afaani,,"v., vt.  to pick on someone, to bully	sense of to criticize, treat unkindly)",,Extracted from page 10
93,10,afalafal,,"n., v. preach, give a talk, message afalafala – vt. to preach about",,Extracted from page 10
94,10,Example: afalafala ewe kapas allim,,preach the good news afalafala aramas – preaching to people,,Extracted from page 10
95,10,afalafalaéchú,,v.  preach well,,Extracted from page 10
96,10,akkafalafal,,give talks	(reduplication also conveys repetitive action) akkafalafala – vt. preaching	(reduplication also conveys repeditive action) afalafalen – message of,,Extracted from page 10
97,10,afalafalfengen,,preach together,,Extracted from page 10
98,11,afalafalfeil,,v.  preaching everywhere    (polite way of saying),,Extracted from page 11
99,11,afalafalafeili,,vt. carring a message everywhere afalafalfetál	(same as “afalafalfeil”),,Extracted from page 11
100,11,afalafalafetálei,,(same as “afalafalafeili”),,Extracted from page 11
101,11,afalafal sereseréch,,informal witnessing,,Extracted from page 11
102,11,afalafal imw me imw,,house to house preaching afanga – vt.  to force	(by threat)	(see “fang”),,Extracted from page 11
103,11,afangemá,,vt.  to betray	(see “fang”),,Extracted from page 11
104,11,áfánien,,n.  deceit,,Extracted from page 11
105,11,kapasen áfánien,,deceitful words to cause indicision,,Extracted from page 11
106,11,áfánienii,,vt.  to deceive,,Extracted from page 11
107,11,áfánienin,,deceitfullness of,,Extracted from page 11
108,11,áfánni,,"v., vt.  consider, care for, take into account  (casually)",,Extracted from page 11
109,12,áfánnin,,consideration of,,Extracted from page 12
110,12,áfánniéchú,,"v., vt.  give good consideration to",,Extracted from page 12
111,12,afar,,n.  shoulder,,Extracted from page 12
112,12,afaren,,shoulder of,,Extracted from page 12
113,12,afaún,,"replenished	(supplies, can be used figuratively)",,Extracted from page 12
114,12,afaúna,,"v., vt. to replenish afaúnalong – put in to replenish",,Extracted from page 12
115,12,akkafaún,,replenishing	(reduplication also conveys repeditive action),,Extracted from page 12
116,12,akkafaúna,,"v., vt.  replenishing",,Extracted from page 12
117,12,áfeffeitáái,,"v.  to progress, to raise higher	(see “fei”)",,Extracted from page 12
118,12,áfetála,,cause to walk	(see “fetal”),,Extracted from page 12
119,12,afechcha,,"open	(spreading out as a mat, material, blankets, etc.)",,Extracted from page 12
120,12,afékúr,,"ethnic background, clan",,Extracted from page 12
121,12,afékúren,,background of,,Extracted from page 12
122,13,afélú,,v.  to punch,,Extracted from page 13
123,13,aféúféúú,,"v.  to confirm, to make sure, confirmed",,Extracted from page 13
124,13,affanger,,two objects or persons crossing or passing each other afféú – to freeze	(see “ffééú”),,Extracted from page 13
125,13,afféér,,mediate,,Extracted from page 13
126,13,chon afféér,,mediator,,Extracted from page 13
127,13,afféw,,"connected, join together to make one afféwfengen – connected together",,Extracted from page 13
128,13,afféwú,,vt.  to connect	(with a connector as with a pipe),,Extracted from page 13
129,13,afféwúni,,vt. to connect afféwúfengeni – connect together nekkafféwún – point of connection minen afféwún – connector,,Extracted from page 13
130,13,afféwú,,v  to translate,,Extracted from page 13
131,13,afféwúún,,translation of afféwúúni – vt. to translate afféwúúr – translated them,,Extracted from page 13
132,13,afóna,,"v.  to cuddle, cherish	(see “fón”)",,Extracted from page 13
133,13,afósa,,v.  cause to speak	(see “fós”),,Extracted from page 13
134,13,afóta,,"v.  to focus on, give attention to, to throw a spear, knife, etc.  (can be use figuratively)	(see “fót”)",,Extracted from page 13
135,13,ai,,"my	(stand alone possessive – see page 1, #3)",,Extracted from page 13
136,13,aier,,"v.  repent, repented",,Extracted from page 13
137,14,aiersefál,,"repent again áimuuló – to separate	(see “mu”) aion – physical, body",,Extracted from page 14
138,14,áiti,,v.  to show,,Extracted from page 14
139,14,áitiéchú,,v show clearly,,Extracted from page 14
140,14,áitien,,"display of, showing of",,Extracted from page 14
141,14,káit,,"intr  taught, train	(sense of teaching)",,Extracted from page 14
142,14,káitfengen,,learn together,,Extracted from page 14
143,14,káititá,,intervene while someone is teaching someone else,,Extracted from page 14
144,14,ákkáiti,,vt.  teaching	(reduplication also conveys repetitive action),,Extracted from page 14
145,14,akkachofesa,,violence,,Extracted from page 14
146,15,féfférun akkachofesa,,"violence, acts of violence akkachopwa – slow in doing something, procrastinate, procrastiation",,Extracted from page 15
147,15,ákkáekis,,little at a time	(see “kis”),,Extracted from page 15
148,15,ákkáeúin,,"especially, primarily	(see “eú”)",,Extracted from page 15
149,15,akkamwéchú,,v.  hold on	(see “mwéch”),,Extracted from page 15
150,15,ákkáppii,,"criticize, insult	(one’s ability)",,Extracted from page 15
151,15,akkapén,,oath,,Extracted from page 15
152,15,akkapénú,,to make an oath,,Extracted from page 15
153,15,akkattola,,v.  to watch over  (similar to protect)	(see “katol”),,Extracted from page 15
154,15,akkaw,,"n.  hat, helmet	(see “imw”)",,Extracted from page 15
155,15,akkawóra,,providing	(see “wór”),,Extracted from page 15
156,15,akkomw,,"first	(be first, proceed first, importance)	(also see “áeúin”)",,Extracted from page 15
157,15,akkomwa,,"to make first, give priority to, give importance to akkomwan – initially, at first",,Extracted from page 15
158,15,akkóta,,v  to arrange	(see “kkót”),,Extracted from page 15
159,15,akkufu,,v.  to defeat	(see “kkuf”),,Extracted from page 15
160,15,akúrang,,"n, adj  noisy, loud",,Extracted from page 15
161,16,akúranga,,"v., vt.  to make noise",,Extracted from page 16
162,16,akúrangen,,noisiness of,,Extracted from page 16
163,16,akkakúrang,,makes noise regularly	(reduplication also conveys repetitive action),,Extracted from page 16
164,16,akúrangarang,,adj. very noisy akúrangarangen – noisiness of,,Extracted from page 16
165,16,alón,,"statement of, words of",,Extracted from page 16
166,16,Who said so? (Lit.,,Words of who?),,Extracted from page 16
167,16,áláemén,,"alone, only begotten, only one person or animal	(see “eú”)",,Extracted from page 16
168,16,alamota,,give importance to	(see “lamot”),,Extracted from page 16
169,16,aléélé,,"v., vt.  to fill  (liquid)	see “léélé”)",,Extracted from page 16
170,16,álefila lefilen,,distinguish between	(see “fil”),,Extracted from page 16
171,16,alélléfengeni,,"v., vt.  to equalize	(see “léllé”)",,Extracted from page 16
172,16,álillis,,"n.  help, assist",,Extracted from page 16
173,17,álillisin,,help of,,Extracted from page 17
174,17,álillis seni,,help from,,Extracted from page 17
175,17,álillisitá,,getting involved to help álillisfengen – help each other álisi – vt. to help,,Extracted from page 17
176,17,álisien,,"helped by	(things, not people)",,Extracted from page 17
177,17,ákkálisi,,helping	(reduplication also conveys repetitive action),,Extracted from page 17
178,17,álisaatá,,help up	(literal),,Extracted from page 17
179,17,"support, promote	(figuratively) álisifóchei",,"help all the way, until task completed minen álillis – something that helps, assists",,Extracted from page 17
180,17,chón álillis,,helper állea – v. read,,Extracted from page 17
181,17,álleaan,,reading of,,Extracted from page 17
182,17,ákkállea,,read regularly	(reduplication also conveys repetitive action),,Extracted from page 17
183,17,álleaani,,"v., vt.  to read",,Extracted from page 17
184,17,ákkálleaani,,reading	(reduplication also conveys repetitive action),,Extracted from page 17
185,17,álleanifichi,,read carefully álleaniéchú – read well,,Extracted from page 17
186,17,álleasefáli,,read again,,Extracted from page 17
187,17,álleanisefali,,(same as “álleasefáli”),,Extracted from page 17
188,18,álleasochis,,obey,,Extracted from page 18
189,18,ákkálleasochis,,obeying	(reduplication also conveys repetitive action),,Extracted from page 18
190,18,ákkálleasochisi,,vt.  obeying,,Extracted from page 18
191,18,álleasolap,,"v. disobey, disobedience",,Extracted from page 18
192,18,ákkálleasolap,,disobeying	(reduplication also conveys repetitive action),,Extracted from page 18
193,18,ákkálleasolapa,,disobeying	(takes on a object),,Extracted from page 18
194,18,allim,,good,,Extracted from page 18
195,18,allimen,,good of,,Extracted from page 18
196,18,kapas allim,,good news,,Extracted from page 18
197,18,allúk,,"law, order, command, regulation, rule",,Extracted from page 18
198,18,allúkún,,"law of, order of, command of allúkaatiw – laid down the law",,Extracted from page 18
199,18,alólilen,,worrisome	(see “lólilen”),,Extracted from page 18
200,19,alóllóól,,adj.  deep	(can be used figuratively),,Extracted from page 19
201,19,alóllóólun,,depth of,,Extracted from page 19
202,19,alúkúlúkú,,"v., vt. to assure, to convince	(see “lúkú”) alusaaló – v., vt. to waste (time, things, etc.)	(see “lus”) ám (1) – we, us	(exclusive)	(stand alone pronoun – see page 1, #2)",,Extracted from page 19
203,19,(“ám” is understood)  aua,,"we are, we were  (present & past tense)",,Extracted from page 19
204,19,aupwe,,we	will (be),,Extracted from page 19
205,19,aupwele,,we	will do immediately,,Extracted from page 19
206,19,ause,,"we	did not, didn’t are not, aren't were not, weren't",,Extracted from page 19
207,19,ausap,,"we	will not, won’t aupwap – we	will do later ausaamwo – we haven’t yet",,Extracted from page 19
208,19,ám (2),,"our	(stand alone possessive – see page 1, #3)",,Extracted from page 19
209,19,ámáári,,"to grow, to raise	(plant, tree, etc., not people) (see “máár”)",,Extracted from page 19
210,19,ámáirú,,adj.  surprise	(see “máirú”),,Extracted from page 19
211,19,amanaw,,salvation	(see “manaw”),,Extracted from page 19
212,19,amassawa,,adj.  shadeless,,Extracted from page 19
213,19,amésékú,,v. to threaten kapasen amésék – threat,,Extracted from page 19
214,19,ámi (1),,"you	(plural)	(stand alone pronoun – see page 1, #2)",,Extracted from page 19
215,19,(“ámi” is understood)	oua,,"you are, you were  (present & past tense)",,Extracted from page 19
216,19,oupwe,,you	will (be),,Extracted from page 19
217,19,oupwele,,you	will do immediately,,Extracted from page 19
218,20,ouse,,"you	did not, didn’t are not, aren't were not, weren't",,Extracted from page 20
219,20,ousap,,"you	 will not, won’t oupwap – you	will do later ousaamwo – you haven’t yet",,Extracted from page 20
220,20,ámi (2),,"your	(stand alone possessive – see page 1, #3)",,Extracted from page 20
221,20,ammat,,liver,,Extracted from page 20
222,20,ammólnaatá,,vt.  to prepare	(see “mmolnetá”),,Extracted from page 20
223,20,ammún,,lungs,,Extracted from page 20
224,20,ámmwera,,"v., vt. to carry something on the shoulder ámmwet – postponed	(see “mwet”)",,Extracted from page 20
225,20,amóeló,,to make disappear	(see “mó),,Extracted from page 20
226,20,amonaaló,,"cause to disappear by	(cloud, smoke, rain, etc.)",,Extracted from page 20
227,20,amoson,,"adj. suspicious, distrust amosona – v., vt. be suspicious of kapasen amoson – accusation",,Extracted from page 20
228,20,amúrinnééló,,"v., vt. to improve, make better	(see “múrinné”) ámwááli – vt. to distort, to make wrong	(see “mwáál”) amwarar – adj. wonderful, interesting	(see “mwar”)",,Extracted from page 20
229,20,amwéchú,,vt.  to hold	(see “mwéch”),,Extracted from page 20
230,20,ámweira,,vt.  to cheer	(see “mweir”),,Extracted from page 20
231,20,amwo,,hopefully,,Extracted from page 20
232,20,amwo itá,,hoping something will take place,,Extracted from page 20
233,21,amwoota,,to cook someting	(see “mwoot”),,Extracted from page 21
234,21,amwúch,,n. firewood án – indicates an (’s),,Extracted from page 21
235,21,an,,"his, hers, its	(stand alone possessive – see page 1, #3)",,Extracted from page 21
236,21,anapanapa,,"v., vt.  to design, form, shape, mold	(see “napanap”)",,Extracted from page 21
237,21,anchangei,,v.  imagine,,Extracted from page 21
238,21,akkanchangei,,imagining	(reduplication also conveys repetitive action),,Extracted from page 21
239,21,áneán,,n.  wish	(strong desire),,Extracted from page 21
240,21,áneánei,,"v.  to wish for, to hope for	(desire that something will take place)",,Extracted from page 21
241,21,ánein,,for as long as,,Extracted from page 21
242,21,anéúnéú,,"to give	(see “n, -ei”)",,Extracted from page 21
243,21,ángá,,"type of bird angang – n., v. work",,Extracted from page 21
244,21,angangen,,work of,,Extracted from page 21
245,21,angang weires,,do hard work angangechou – v. do heavy work angangfengen – work together anganga – v. to make a person work,,Extracted from page 21
246,21,exercise,,(faith),,Extracted from page 21
247,22,angangaw,,do inferior work angéch – handy,,Extracted from page 22
248,22,akkangang,,working	(reduplication also conveys repetitive action),,Extracted from page 22
249,22,angata,,overworked,,Extracted from page 22
250,22,angechu,,cooperate	(in action),,Extracted from page 22
251,22,angechufengen,,"cooperate with one another angasa – be liberated, released, freed	(see “ngas”) angei – receive, obtain, acquire, take, etc.",,Extracted from page 22
252,22,akkangei,,receiving	(reduplication also conveys repetitive action),,Extracted from page 22
253,22,angang,,"get, got",,Extracted from page 22
254,22,angeimwááli,,wrongly acquire angeisefál – obtain again,,Extracted from page 22
255,22,angeisefáli,,"v., vt. recover, get it back angepwetete – v. receive politely angepéchékkúl – v. rudely take something",,Extracted from page 22
256,22,angeweiresi,,to take something someone grudgingly gives up` ángngá – go back and forth (vehicles),,Extracted from page 22
257,22,áni,,v.  eat	(general term)	(see “eni”),,Extracted from page 22
258,22,ánini,,v.  to argue,,Extracted from page 22
259,22,áninifengen,,argue together,,Extracted from page 22
260,22,ániicho,,"argue incessantly	(stronger than ánini) ánioput – loath, strong dislike	(see “oput”) annangaatá – lift a portion of an object to remove something under it. ánnefóta – v. stare	(see “fót”)",,Extracted from page 22
261,22,ánnet,,"proof, testimony	(see “let”)",,Extracted from page 22
262,23,anné,,"delicious, tasty",,Extracted from page 23
263,23,ánnifelong,,"v.  sneak in, infiltrate",,Extracted from page 23
264,23,annou,,"adj.  disgusting, nauseating	(see “nnou”)",,Extracted from page 23
265,23,annúkú,,"v.  to tighten, close tightly	(see “núk”)",,Extracted from page 23
266,23,annúrú,,v.  to shrink	(see “nnúr”),,Extracted from page 23
267,23,annut,,sleep,,Extracted from page 23
268,23,annutóló,,went to sleep annutóchou – deep sleep,,Extracted from page 23
269,23,ókkónnut,,sleeping	(reduplication also conveys repetitive action),,Extracted from page 23
270,23,annusaaló,,change location	(see “nus”),,Extracted from page 23
271,23,anómu,,"v., vt.  to put, place, locate	(see “nóm”)",,Extracted from page 23
272,23,anoppa,,"v., vt.  to stack	(see “nnop”)",,Extracted from page 23
273,23,antare,,n.  altar,,Extracted from page 23
274,23,antareen,,altar of ánúk – waterway for a boat,,Extracted from page 23
275,23,anúkúnúk,,"get ready, prepare	(sense of organizing)",,Extracted from page 23
276,23,anúkúnúkú,,"vt, get ready",,Extracted from page 23
277,23,núkúóló,,"put things in it’s place, tidy-up anúmamaú – n. curse	(a spell)",,Extracted from page 23
278,23,anúmamaúa,,"v., vt. to curse anúmamaúen – curse of",,Extracted from page 23
279,23,aopa,,"v., vt.  to hide	(see “op”)",,Extracted from page 23
280,23,aosukosuk,,adj.  inconvenient	(see “osukosuk”),,Extracted from page 23
281,23,aóta,,v.  to arrange	(see “kókkót”),,Extracted from page 23
282,24,apaatái,,v.  to flatter	(see “paatá”),,Extracted from page 24
283,24,apaayetá,,to flatter,,Extracted from page 24
284,24,apacha,,"v.  to stick, join	(see “pach”)",,Extracted from page 24
285,24,apareni,,"notice, being aware of	(something being apparent)",,Extracted from page 24
286,24,apasa,,"talk, speak, say, express apasasefáli – say again",,Extracted from page 24
287,24,"apasaa, -ló, -tá, -long, -wu",,"express, up, in",,Extracted from page 24
288,24,go  up	in	out (directionals,,"see page 1, #5)",,Extracted from page 24
289,24,apasawu,,speak out,,Extracted from page 24
290,24,apéchékkúl,,adj. strengthening	(see “péchékkúl”) ápekkus – exhausting	(see “pekkus”) apépé – compare,,Extracted from page 24
291,24,apépééi,,"v., vt.  to compare	(“apépééú” – alternate pronounciation)",,Extracted from page 24
292,24,apépéfengen,,compare together,,Extracted from page 24
293,24,apépéfengeni,,"v., vt.  comparing something with another, compare together",,Extracted from page 24
294,25,apépéfengeniir,,v  compare them together,,Extracted from page 25
295,25,"apépéfengeni, -kem, -kemi, -ir, -kich",,"compare (us, you, etc.) us	you	them	us	(pronouns – see pg.1, #4)",,Extracted from page 25
296,25,ápera,,"v., vt.  to aim	(at a specific target)",,Extracted from page 25
297,25,káper,,aim	(choose among targets),,Extracted from page 25
298,25,káperéch,,aim straight káperingaw – aim crookedly,,Extracted from page 25
299,25,áperaéchú,,"v., vt. to aim well áperengawa – v, vt to aim badly",,Extracted from page 25
300,25,ápilúkúlúk,,n.  hope	(see “lúkú”),,Extracted from page 25
301,25,ápio,,n.  announcement	(verbally),,Extracted from page 25
302,25,ápioni,,v  to announce,,Extracted from page 25
303,25,appan,,adj.  young	(animal),,Extracted from page 25
304,25,appanen,,young one of,,Extracted from page 25
305,25,appélúwa,,"v., vt.  to resist, oppose, answer back	(see “pélú”)",,Extracted from page 25
306,25,áppirú,,"v., vt.  to imitate	(someone’s qualities, thinking, etc.)",,Extracted from page 25
307,25,nikáppirú,,"v., vt.  to imitate	(someone’s actions)",,Extracted from page 25
308,25,ákkáppirú,,imitating	reduplication also conveys repetitive action),,Extracted from page 25
309,25,áppirúfichi,,properly imitate,,Extracted from page 25
310,26,leenien áppirú,,"example	(to imitate) appósa – v., vt. to make firm or steadfast	(see “ppós”) appúngú – v., vt. to close	(the door)	(see “púng”) apúnga – commend",,Extracted from page 26
311,26,apúngú,,"v., vt.  to explode	(see “púng”)",,Extracted from page 26
312,26,apwangapwang,,"adj.  weak, sickly, faults	(weaknesses)",,Extracted from page 26
313,26,apwangapwanga,,"v., vt.  to weaken",,Extracted from page 26
314,26,apwangapwangaaló,,v. to weaken apwangapwangen – weakness ofh apwangapwangóló – v. to get weaker,,Extracted from page 26
315,26,akkapwangapwang,,always weak or sick	(reduplication also conveys repetitive action),,Extracted from page 26
316,26,apwapwaai,,v.  to make happy	(see “pwapwa”),,Extracted from page 26
317,26,apwénúetá,,"v.  to fulfill, accomplish	(see “pwénútá”)",,Extracted from page 26
318,26,apworai,,v.  to make brave	(see “pwora”),,Extracted from page 26
319,26,apwúngú,,v.  to correct	(see “pwúng”),,Extracted from page 26
320,26,apwúpwúlú,,"n.  wedding, married	(see “pwúlú”)",,Extracted from page 26
321,26,ár (1),,"pass	(in school, on a test)",,Extracted from page 26
322,26,ese ár,,failed áréch – succeded,,Extracted from page 26
323,26,ár (2),,no longer exist,,Extracted from page 26
324,26,ar,,their	(stand alone possessive – see page 1 #3),,Extracted from page 26
325,26,(“ar” is understood)	ra,,"they are, they were	(present and past tense)",,Extracted from page 26
326,26,repwe,,they	will (be),,Extracted from page 26
327,27,rese,,"they	didn’t	(“rete” also used) resap – they	will not, won’t repwele – they	will do immediately repwap – they		will do late",,Extracted from page 27
328,27,resaamwo,,they  haven’t yet,,Extracted from page 27
329,27,aramas,,"n.  people, mankind, relative",,Extracted from page 27
330,27,akkaramas,,extended family aramaséch – good people aramasangaw – bad people,,Extracted from page 27
331,27,arangaatá,,"v.  to agitate, incite  (as a mob) (negative) (see “rang”)",,Extracted from page 27
332,27,arap,,"adj.  near, close	(distance, time)	(also see “kkan”)",,Extracted from page 27
333,27,akkarap,,approaching	(reduplication also conveys repetitive action),,Extracted from page 27
334,27,arapoto,,"adj. approaching, drawing near arapotoon – approaching of, drawing near to",,Extracted from page 27
335,27,arapakkan,,"very near, close, almost	(sense of close to happening)",,Extracted from page 27
336,27,arawaraw,,adj.  blue	(also used when referring to the greenness of a mountain),,Extracted from page 27
337,27,árere,,"unclear	(not sure , not definite)",,Extracted from page 27
338,27,arochongaw,,"adj. cruel, mean	(see “roch”)",,Extracted from page 27
339,27,aronga,,v.  to inform	(sense of making someone hear)  (see “rong”),,Extracted from page 27
340,27,arosaaló,,"v.  eliminate, annihilate	(see “ros”)",,Extracted from page 27
341,27,arúánúún,,fourth	(see “rúánú”),,Extracted from page 27
342,28,ásááwa,,vt.  to embarrass	(see “sáw”),,Extracted from page 28
343,28,asachchikin,,at the very top of asam – door,,Extracted from page 28
344,28,asamen,,door of asamalap – main door asamalapen – main door of,,Extracted from page 28
345,28,penasamen,,alongside the door asammwacho – n. window,,Extracted from page 28
346,28,asammwachoon,,window of,,Extracted from page 28
347,28,asamolu,,v.  to honor	(see “samól”),,Extracted from page 28
348,28,asan,,prep  above,,Extracted from page 28
349,28,ásepa,,turn toward	(see “sáp”),,Extracted from page 28
350,28,asarama,,v.  to enlighten	(see “saram”),,Extracted from page 28
351,28,ásechchi,,"release, forfeit	(see “sech”)",,Extracted from page 28
352,28,ásepwál,,wind,,Extracted from page 28
353,28,ásepwálin,,wind of ákkásepwál – windy,,Extracted from page 28
354,28,asésé,,"n., v.  rest, relax, take a vacation",,Extracted from page 28
355,28,aséséén,,rest of,,Extracted from page 28
356,28,asésééú,,vt.  allow to rest,,Extracted from page 28
357,28,ásesser,,guess	(in connection with tests),,Extracted from page 28
358,28,aséún,,empty handed,,Extracted from page 28
359,29,ásimaú,,adj.  mature	(people),,Extracted from page 29
360,29,ásimaúetá,,to become mature ásimaúóló – same as “ásimaúetá”,,Extracted from page 29
